"","season","episode","andy","angela","darryl","dwight","jim","kelly","kevin","michael","oscar","pam","phyllis","ryan","toby","erin","jan","ken_kwapis","greg_daniels","b_j_novak","paul_lieberstein","mindy_kaling","paul_feig","gene_stupnitsky","lee_eisenberg","jennifer_celotta","randall_einhorn","brent_forrester","jeffrey_blitz","justin_spitzer","imdb_rating"
"1",1,1,0,1,0,29,36,0,1,81,3,41,2,8,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,7.6
"2",1,2,0,4,0,17,25,2,8,75,13,12,0,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.3
"3",1,3,0,5,0,62,42,0,6,56,9,32,0,1,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,7.9
"4",1,5,0,3,15,25,21,0,1,104,2,14,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.4
"5",1,6,0,3,0,28,55,0,5,106,1,45,0,12,7,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,7.8
"6",2,1,0,1,1,32,32,7,1,96,2,41,10,2,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,8.7
"7",2,2,0,2,9,11,16,0,6,100,0,27,6,1,26,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,8.2
"8",2,3,0,6,0,55,55,0,9,83,10,33,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.4
"9",2,4,0,17,0,65,51,4,5,69,4,22,6,40,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.4
"10",2,5,0,13,0,33,30,3,2,108,7,27,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8.2
"11",2,6,0,3,0,64,49,3,3,85,0,25,0,18,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,8.2
"12",2,7,0,0,0,22,40,1,1,73,4,32,4,6,1,0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,8.6
"13",2,8,0,5,0,42,26,2,4,103,1,30,1,1,1,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,8.2
"14",2,11,0,1,3,22,29,4,0,75,1,17,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.6
"15",2,12,0,5,0,60,55,1,2,124,3,57,3,13,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
"16",2,13,0,5,0,38,50,5,8,92,9,27,0,7,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8.3
"17",2,14,0,2,3,25,27,10,7,101,5,28,1,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.9
"18",2,15,0,5,27,12,22,9,4,76,0,26,9,2,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,8.2
"19",2,16,0,4,0,19,16,13,5,45,2,23,3,4,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,8.3
"20",2,17,0,4,0,49,35,5,4,52,3,19,4,7,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4
"21",2,18,0,4,1,23,17,6,5,77,1,21,0,10,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.3
"22",2,19,0,12,0,43,22,4,14,87,7,26,2,3,8,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,8.1
"23",2,20,0,7,0,71,20,5,6,50,6,15,3,7,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.4
"24",2,21,0,12,0,33,28,2,3,88,9,24,12,4,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.7
"25",2,22,0,5,8,31,52,1,16,94,4,44,7,1,4,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,9.3
"26",3,1,5,4,0,18,11,1,1,51,16,6,3,1,9,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,8.9
"27",3,2,0,9,0,37,32,8,3,108,0,30,2,3,6,0,12,0,0,0,0,0,0,1,1,0,0,0,0,0,8.2
"28",3,3,10,12,0,71,12,8,4,73,0,17,5,0,0,0,25,0,1,0,1,0,0,0,0,0,0,0,0,0,8.5
"29",3,4,4,6,0,36,15,5,2,83,0,25,3,6,3,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,8
"30",3,5,5,4,0,45,45,6,3,33,0,52,2,36,1,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,8.2
"31",3,6,14,10,0,6,19,15,6,56,0,23,2,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
"32",3,8,41,4,0,73,66,6,7,125,0,36,8,9,16,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,8.7
"33",3,9,17,10,0,4,31,0,13,54,0,16,1,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,8.2
"34",3,10,28,37,3,61,44,5,14,108,1,57,12,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.7
"35",3,12,3,4,6,22,25,0,5,70,0,33,2,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5
"36",3,13,29,17,0,33,39,2,7,48,0,26,10,8,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,8.6
"37",3,14,40,14,0,25,25,0,3,48,11,10,3,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,8.8
"38",3,15,0,5,0,29,25,3,3,77,0,30,0,6,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,8.2
"39",3,17,0,2,0,22,11,9,6,45,4,26,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.8
"40",3,18,0,1,0,32,21,1,8,84,0,22,0,3,3,0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,8.5
"41",3,19,2,11,43,18,41,14,8,106,4,16,4,9,17,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,8.9
"42",3,20,18,1,30,55,24,6,16,78,3,19,0,5,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.8
"43",3,21,34,12,0,31,46,10,8,53,6,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8.7
"44",3,22,10,11,0,42,31,4,11,80,0,35,12,5,7,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,8.8
"45",3,23,18,8,0,38,22,9,5,105,5,23,1,3,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9.1
"46",3,24,22,6,0,60,65,3,17,118,11,46,4,4,0,0,43,1,0,0,1,0,0,0,0,0,0,0,0,0,9.3
"47",4,1,7,48,5,54,50,6,18,130,9,81,4,8,9,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,8.8
"48",4,5,45,49,9,83,67,8,14,147,8,24,9,7,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,8.5
"49",4,7,11,4,10,39,41,13,10,136,25,50,2,21,2,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,8.7
"50",4,9,21,2,10,10,28,0,3,61,1,18,7,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.8
"51",4,10,8,0,0,38,69,0,2,82,10,18,2,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.5
"52",4,11,7,7,0,25,68,1,2,65,7,11,4,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.3
"53",4,13,10,12,0,16,38,0,0,89,0,28,1,0,0,0,73,0,0,0,0,0,1,1,1,0,0,0,0,0,9.3
"54",4,14,14,1,0,17,21,0,20,72,2,35,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8.1
"55",4,15,4,4,0,42,37,3,3,87,7,13,3,60,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.7
"56",4,16,23,3,13,32,23,1,8,87,2,16,7,6,10,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8.4
"57",4,17,13,4,6,10,19,1,7,45,5,33,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.9
"58",4,18,7,14,2,37,59,4,23,159,1,42,16,5,37,0,24,0,0,0,1,0,1,0,0,1,0,0,0,0,9.3
"59",5,1,29,26,10,49,63,12,14,115,18,36,16,20,1,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,8.8
"60",5,3,12,2,0,14,27,3,5,58,5,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.3
"61",5,4,13,13,9,35,27,2,4,79,3,25,7,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,8.1
"62",5,5,7,8,8,31,21,0,5,75,5,5,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.1
"63",5,8,69,10,0,16,22,15,2,77,38,14,2,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.2
"64",5,9,6,2,0,38,31,10,2,90,3,26,3,18,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.6
"65",5,10,18,23,0,29,31,1,3,100,31,58,2,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8.7
"66",5,11,8,12,6,27,26,1,3,65,5,6,19,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8.4
"67",5,12,65,22,0,66,34,2,8,52,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.7
"68",5,13,5,3,0,73,13,2,14,90,3,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.1
"69",5,14,23,16,6,73,35,3,8,118,11,32,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9.6
"70",5,16,27,18,0,58,67,26,17,105,14,73,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8.2
"71",5,16,27,18,0,58,67,26,17,105,14,73,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8.2
"72",5,17,27,18,0,58,67,26,17,105,14,73,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8.2
"73",5,17,27,18,0,58,67,26,17,105,14,73,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8.2
"74",5,18,0,4,0,31,35,9,15,86,14,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8.1
"75",5,19,12,0,3,71,39,0,10,113,7,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.7
"76",5,20,4,8,0,21,30,7,5,104,1,14,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,8.3
"77",5,21,14,6,0,12,26,6,13,88,12,38,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4
"78",5,22,16,3,0,17,35,1,10,78,1,65,2,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8.3
"79",5,23,18,0,0,28,28,5,2,46,5,45,1,25,3,16,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8.7
"80",5,26,12,5,1,49,29,2,1,95,5,30,13,25,13,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.3
"81",5,27,16,17,0,28,17,11,7,84,5,19,25,2,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.7
"82",5,28,12,3,0,41,24,0,5,55,2,25,4,0,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,8.9
"83",6,1,38,5,0,20,42,9,14,95,10,27,7,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.7
"84",6,2,7,3,15,32,19,3,1,71,7,24,2,5,26,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.2
"85",6,3,3,5,0,29,91,4,14,86,12,18,13,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
"86",6,4,33,12,0,84,56,3,30,129,9,70,3,3,4,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,9.3
"87",6,4,33,12,0,84,56,3,30,129,9,70,3,3,4,10,0,0,1,0,0,1,1,0,0,0,0,0,0,0,9.3
"88",6,6,57,0,0,50,14,0,17,122,18,5,1,4,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.7
"89",6,7,9,5,0,30,60,10,6,85,6,60,2,8,15,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8.6
"90",6,10,24,6,0,30,47,1,11,67,8,12,5,1,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.6
"91",6,11,14,0,0,26,37,0,4,71,18,12,7,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.2
"92",6,12,22,3,0,36,38,1,6,68,2,14,4,4,0,21,0,0,0,1,0,0,0,1,1,0,0,0,0,0,8.3
"93",6,13,16,6,0,37,39,3,13,95,13,16,27,8,6,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8.5
"94",6,14,1,2,0,17,0,0,2,44,0,5,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.8
"95",6,15,10,2,0,9,26,0,1,82,5,25,1,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8
"96",6,16,24,1,0,39,33,11,5,68,6,5,4,19,0,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.1
"97",6,19,24,3,0,29,40,3,3,52,4,1,1,3,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.8
"98",6,20,15,6,9,43,51,8,8,85,1,3,18,3,2,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.9
"99",6,21,35,17,10,34,33,4,7,74,20,31,6,5,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.6
"100",6,22,25,5,3,17,8,5,20,46,6,28,3,5,3,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.9
"101",6,23,3,3,4,45,37,28,8,86,9,27,4,4,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8
"102",6,25,41,17,4,36,21,5,6,82,3,30,8,11,5,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.9
"103",6,26,17,4,6,19,13,5,7,67,2,17,5,2,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
"104",7,1,16,3,5,21,22,5,5,58,8,25,7,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.4
"105",7,2,13,4,4,48,34,6,0,31,7,39,3,3,35,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8.3
"106",7,5,38,2,23,56,59,3,12,85,16,10,8,3,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.8
"107",7,6,16,5,26,14,27,5,19,59,8,24,5,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.2
"108",7,11,28,26,23,38,50,14,15,130,12,69,13,11,25,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.9
"109",7,14,51,0,3,19,24,12,9,37,14,18,3,8,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.7
"110",7,15,14,1,8,26,32,9,7,42,12,36,10,6,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.5
"111",7,16,37,9,16,24,23,1,13,73,17,24,3,6,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.4
"112",7,17,2,0,0,4,6,1,4,75,2,8,0,2,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,9.3
"113",7,18,29,1,0,41,38,3,13,57,1,36,1,4,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.5
"114",7,20,12,4,8,10,10,5,4,68,5,8,2,2,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8
"115",7,21,4,1,3,13,23,0,6,82,6,15,2,6,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.9
"116",7,22,24,12,3,16,18,3,11,116,6,20,18,3,5,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9.7
"117",7,24,26,11,5,73,28,6,20,0,4,11,5,2,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.7
"118",7,25,26,11,27,44,90,17,14,0,22,32,20,11,13,23,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8.8
"119",8,1,50,6,4,28,33,5,8,0,4,23,10,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.2
"120",8,2,72,14,7,21,39,3,24,0,7,33,7,4,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.2
"121",8,4,61,7,9,26,22,3,4,0,9,10,3,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.1
"122",8,5,34,4,9,18,25,12,9,0,7,24,7,3,7,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.6
"123",8,8,45,1,11,26,16,4,15,0,18,18,6,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
"124",8,10,75,2,10,23,40,10,9,0,9,0,7,6,6,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
"125",8,11,36,1,10,34,17,2,15,0,17,0,3,6,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.9
"126",8,17,28,9,4,53,28,9,8,0,6,10,2,17,18,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.8
"127",8,21,53,7,5,16,19,13,9,0,7,29,10,30,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.1
"128",8,24,49,20,15,27,31,4,3,0,11,22,5,0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.8
"129",9,1,33,16,3,42,21,2,7,0,9,19,1,1,11,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7
"130",9,4,43,5,11,40,60,0,17,0,14,29,5,0,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.9
"131",9,8,0,52,6,57,29,0,16,0,22,17,12,0,8,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8
"132",9,17,5,8,1,51,6,0,12,0,11,21,8,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.5
"133",9,18,11,32,12,37,31,0,9,0,29,42,6,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8
"134",9,21,68,30,11,54,63,0,13,0,19,30,4,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.9
"135",9,22,44,39,30,87,89,0,30,0,28,34,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.3
"136",9,24,31,23,19,76,73,12,31,2,18,45,17,15,13,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.7
